"source";"target";"purpose"
"W13-3607";"800";"use"
"W13-3609";"801";"approach"
"W13-3611";"802";"approach"
"W13-3612";"803";"approach"
"W13-3613";"804";"approach"
"E09-1097";"805";"use"
"S07-1003";"806";"report"
"P11-1146";"807";"present"
"S10-1059";"808";"report"
"S10-1065";"809";"report"
"J95-4004";"810";"proposed by"
"W11-2165";"811";"present"
"N03-1017";"812";"method"
"W05-0821";"813";"method"
"D10-1115";"814";"method"
"D08-1035";"815";"method"
"S12-1012";"816";"report"
"D09-1063";"817";"use"
"E09-1077";"818";"use"
"P07-1054";"819";"approach"
"D09-1063";"820";"approach"
"E09-1077";"821";"approach"
"P04-1015";"822";"present"
"P07-1096";"823";"present"
"D07-1114";"824";"present"
"D11-1013";"825";"use"
"D10-1040";"826";"use"
"P04-1015";"827";"method"
"N12-1015";"828";"method"
"J11-1005";"829";"method"
"D11-1024";"830";"present"
"E06-1005";"831";"present"
"P08-1102";"832";"use"
"P09-1059";"833";"present"
"P09-1058";"834";"present"
"P11-1139";"835";"present"
"D10-1082";"836";"present"
"N13-1038";"837";"method"
"P10-1110";"838";"proposed by"
"E14-1062";"839";"use"
"E14-1062";"840";"approach"
"D10-1082";"841";"proposed by"
"P08-1065";"842";"use"
"W13-0102";"843";"proposed by"
"W99-0613";"844";"introduce"
"E09-1030";"845";"present"
"P08-1021";"846";"present"
"P03-2026";"847";"use"
"P08-1021";"848";"use"
"W13-2512";"849";"introduce"
"P98-1069";"850";"proposed by"
"P99-1067";"851";"proposed by"
"W11-1205";"852";"approach"
"P07-1084";"853";"approach"
"D12-1003";"854";"approach"
"W13-1504";"855";"use"
"E99-1042";"856";"use"
"P13-2087";"857";"present"
"P11-1015";"858";"present"
"E09-1097";"859";"present"
"E09-1097";"860";"approach"
"D11-1106";"861";"present"
"N06-1014";"862";"use"
"W11-1413";"863";"present"
"D11-1038";"864";"use"
"D11-1038";"865";"use"
"D10-1115";"866";"proposed by"
"P08-1028";"867";"present"
"D12-1110";"868";"present"
"D12-1110";"869";"proposed by"
"D10-1115";"870";"present"
"W10-2805";"871";"present"
"P06-1097";"872";"use"
"J08-1001";"873";"use"
"D13-1060";"874";"present"
"S13-1039";"875";"present"
"N13-1111";"876";"present"
"W13-2115";"877";"proposed by"
"W00-0306";"878";"use"
"E12-3010";"879";"report"
"W10-1734";"880";"use"
"P11-1140";"881";"present"
"P08-1059";"882";"use"
"P13-1058";"883";"use"
"P08-1059";"884";"use"
"P13-1058";"885";"use"
"D10-1090";"886";"introduce"
"P09-1094";"887";"use"
"W12-3127";"888";"use"
"P11-1023";"889";"use"
"P13-1042";"890";"approach"
"D12-1035";"891";"approach"
"D11-1140";"892";"approach"
"P07-1121";"893";"approach"
"D11-1142";"894";"method"
"D10-1012";"895";"introduce"
"W11-1902";"896";"present"
"W06-2911";"897";"use"
"J13-3002";"898";"report"
"P05-1052";"899";"proposed by"
"J02-2002";"900";"present"
"E95-1035";"901";"present"
"W03-1004";"902";"use"
"J02-4006";"903";"method"
"J02-4006";"904";"method"
"W04-3219";"905";"use"
"W04-3219";"906";"proposed by"
"E03-1005";"907";"present"
"W02-1011";"908";"use"
"P05-1077";"909";"use"
"N03-1032";"910";"use"
"N03-1032";"911";"use"
"P05-1036";"912";"present"
"P03-1070";"913";"present"
"W05-0909";"914";"introduce"
"P05-1016";"915";"present"
"A97-1050";"916";"report"
"W95-0108";"917";"present"
"A94-1008";"918";"report"
"W96-0102";"919";"report"
"P95-1037";"920";"use"
"P94-1020";"921";"present"
"W93-0102";"922";"present"
"P96-1006";"923";"present"
"P94-1013";"924";"present"
"J92-4003";"925";"method"
"P93-1024";"926";"method"
"A94-1006";"927";"use"
"P96-1041";"928";"method"
"P96-1025";"929";"method"
"W95-0103";"930";"method"
"P96-1006";"931";"method"
"E95-1032";"932";"approach"
"E93-1025";"933";"approach"
"P81-1030";"934";"use"
"P95-1026";"935";"report"
"W95-0114";"936";"method"
"W95-0114";"937";"method"
"J90-2002";"938";"proposed by"
"P89-1025";"939";"approach"
"P89-1025";"940";"approach"
"J93-2003";"941";"proposed by"
"E97-1067";"942";"approach"
"W02-2002";"943";"method"
"W01-1412";"944";"report"
"P01-1010";"945";"use"
"W01-1406";"946";"present"
"E03-1040";"947";"use"
"W99-0901";"948";"present"
"W02-1001";"949";"use"
"W02-2018";"950";"method"
"E03-1029";"951";"present"
"J96-1002";"952";"present"
